ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
0,"Total",2019,"2019",58490,3688.0000000000005,"Alamance County, NC","05000US37001","alamance-county-nc"
0,"Total",2019,"2019",63668,3211,"Brunswick County, NC","05000US37019","brunswick-county-nc"
0,"Total",2019,"2019",54970,3585.9999999999995,"Buncombe County, NC","05000US37021","buncombe-county-nc"
0,"Total",2019,"2019",47361,4705,"Burke County, NC","05000US37023","burke-county-nc"
0,"Total",2019,"2019",72333,4891,"Cabarrus County, NC","05000US37025","cabarrus-county-nc"
0,"Total",2019,"2019",48737,3982.0000000000005,"Caldwell County, NC","05000US37027","caldwell-county-nc"
0,"Total",2019,"2019",60186,3916.0000000000005,"Carteret County, NC","05000US37031","carteret-county-nc"
0,"Total",2019,"2019",52436,3853.9999999999995,"Catawba County, NC","05000US37035","catawba-county-nc"
0,"Total",2019,"2019",66857,5884,"Chatham County, NC","05000US37037","chatham-county-nc"
0,"Total",2019,"2019",44987,3403,"Cleveland County, NC","05000US37045","cleveland-county-nc"
0,"Total",2019,"2019",52832,6314,"Craven County, NC","05000US37049","craven-county-nc"
0,"Total",2019,"2019",46292,1706.9999999999998,"Cumberland County, NC","05000US37051","cumberland-county-nc"
0,"Total",2019,"2019",53473,5916,"Davidson County, NC","05000US37057","davidson-county-nc"
0,"Total",2019,"2019",65317,3614,"Durham County, NC","05000US37063","durham-county-nc"
0,"Total",2019,"2019",52017,2610,"Forsyth County, NC","05000US37067","forsyth-county-nc"
0,"Total",2019,"2019",57099,8108.999999999999,"Franklin County, NC","05000US37069","franklin-county-nc"
0,"Total",2019,"2019",56595,2954,"Gaston County, NC","05000US37071","gaston-county-nc"
0,"Total",2019,"2019",55328,2852,"Guilford County, NC","05000US37081","guilford-county-nc"
0,"Total",2019,"2019",55753,5212,"Harnett County, NC","05000US37085","harnett-county-nc"
0,"Total",2019,"2019",62131,2936,"Henderson County, NC","05000US37089","henderson-county-nc"
0,"Total",2019,"2019",68660,4069,"Iredell County, NC","05000US37097","iredell-county-nc"
0,"Total",2019,"2019",60951,6167,"Johnston County, NC","05000US37101","johnston-county-nc"
0,"Total",2019,"2019",71514,4430,"Lincoln County, NC","05000US37109","lincoln-county-nc"
0,"Total",2019,"2019",69072,2224,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
0,"Total",2019,"2019",62469,6066,"Moore County, NC","05000US37125","moore-county-nc"
0,"Total",2019,"2019",50656,3266,"Nash County, NC","05000US37127","nash-county-nc"
0,"Total",2019,"2019",56382,3227,"New Hanover County, NC","05000US37129","new-hanover-county-nc"
0,"Total",2019,"2019",49544,4326,"Onslow County, NC","05000US37133","onslow-county-nc"
0,"Total",2019,"2019",74299,5419,"Orange County, NC","05000US37135","orange-county-nc"
0,"Total",2019,"2019",53401,3100,"Pitt County, NC","05000US37147","pitt-county-nc"
0,"Total",2019,"2019",49742,2544,"Randolph County, NC","05000US37151","randolph-county-nc"
0,"Total",2019,"2019",35035,3180,"Robeson County, NC","05000US37155","robeson-county-nc"
0,"Total",2019,"2019",43230,3585.9999999999995,"Rockingham County, NC","05000US37157","rockingham-county-nc"
0,"Total",2019,"2019",51927,3441,"Rowan County, NC","05000US37159","rowan-county-nc"
0,"Total",2019,"2019",44361,3283,"Rutherford County, NC","05000US37161","rutherford-county-nc"
0,"Total",2019,"2019",49250,4722,"Surry County, NC","05000US37171","surry-county-nc"
0,"Total",2019,"2019",85985,5134,"Union County, NC","05000US37179","union-county-nc"
0,"Total",2019,"2019",84215,2081,"Wake County, NC","05000US37183","wake-county-nc"
0,"Total",2019,"2019",44596,3413.9999999999995,"Wayne County, NC","05000US37191","wayne-county-nc"
0,"Total",2019,"2019",43290,5319,"Wilkes County, NC","05000US37193","wilkes-county-nc"
0,"Total",2019,"2019",38830,4122,"Wilson County, NC","05000US37195","wilson-county-nc"
1,"White",2019,"2019",65033,4275,"Alamance County, NC","05000US37001","alamance-county-nc"
1,"White",2019,"2019",63818,3353,"Brunswick County, NC","05000US37019","brunswick-county-nc"
1,"White",2019,"2019",57917,4484,"Buncombe County, NC","05000US37021","buncombe-county-nc"
1,"White",2019,"2019",50933,3886.0000000000005,"Burke County, NC","05000US37023","burke-county-nc"
1,"White",2019,"2019",76510,7310,"Cabarrus County, NC","05000US37025","cabarrus-county-nc"
1,"White",2019,"2019",49450,4484,"Caldwell County, NC","05000US37027","caldwell-county-nc"
1,"White",2019,"2019",61813,3742.9999999999995,"Carteret County, NC","05000US37031","carteret-county-nc"
1,"White",2019,"2019",54193,4351,"Catawba County, NC","05000US37035","catawba-county-nc"
1,"White",2019,"2019",81225,14383.999999999998,"Chatham County, NC","05000US37037","chatham-county-nc"
1,"White",2019,"2019",47297,5596,"Cleveland County, NC","05000US37045","cleveland-county-nc"
1,"White",2019,"2019",58564,6255,"Craven County, NC","05000US37049","craven-county-nc"
1,"White",2019,"2019",52452,3076,"Cumberland County, NC","05000US37051","cumberland-county-nc"
1,"White",2019,"2019",56485,5028,"Davidson County, NC","05000US37057","davidson-county-nc"
1,"White",2019,"2019",76350,2407,"Durham County, NC","05000US37063","durham-county-nc"
1,"White",2019,"2019",64737,3276,"Forsyth County, NC","05000US37067","forsyth-county-nc"
1,"White",2019,"2019",68612,11248,"Franklin County, NC","05000US37069","franklin-county-nc"
1,"White",2019,"2019",60815,2516,"Gaston County, NC","05000US37071","gaston-county-nc"
1,"White",2019,"2019",67259,4091.9999999999995,"Guilford County, NC","05000US37081","guilford-county-nc"
1,"White",2019,"2019",62267,4231,"Harnett County, NC","05000US37085","harnett-county-nc"
1,"White",2019,"2019",62329,3255,"Henderson County, NC","05000US37089","henderson-county-nc"
1,"White",2019,"2019",71570,4203,"Iredell County, NC","05000US37097","iredell-county-nc"
1,"White",2019,"2019",68346,7377,"Johnston County, NC","05000US37101","johnston-county-nc"
1,"White",2019,"2019",72581,2948,"Lincoln County, NC","05000US37109","lincoln-county-nc"
1,"White",2019,"2019",87315,3329,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
1,"White",2019,"2019",68342,9695,"Moore County, NC","05000US37125","moore-county-nc"
1,"White",2019,"2019",61137,9520,"Nash County, NC","05000US37127","nash-county-nc"
1,"White",2019,"2019",61787,4633,"New Hanover County, NC","05000US37129","new-hanover-county-nc"
1,"White",2019,"2019",49776,5720,"Onslow County, NC","05000US37133","onslow-county-nc"
1,"White",2019,"2019",85166,5125,"Orange County, NC","05000US37135","orange-county-nc"
1,"White",2019,"2019",62330,7475.999999999999,"Pitt County, NC","05000US37147","pitt-county-nc"
1,"White",2019,"2019",50510,2244,"Randolph County, NC","05000US37151","randolph-county-nc"
1,"White",2019,"2019",42900,3183,"Robeson County, NC","05000US37155","robeson-county-nc"
1,"White",2019,"2019",46196,4870,"Rockingham County, NC","05000US37157","rockingham-county-nc"
1,"White",2019,"2019",55798,4181,"Rowan County, NC","05000US37159","rowan-county-nc"
1,"White",2019,"2019",45722,4987,"Rutherford County, NC","05000US37161","rutherford-county-nc"
1,"White",2019,"2019",49733,4651,"Surry County, NC","05000US37171","surry-county-nc"
1,"White",2019,"2019",87740,3637.0000000000005,"Union County, NC","05000US37179","union-county-nc"
1,"White",2019,"2019",95269,3116,"Wake County, NC","05000US37183","wake-county-nc"
1,"White",2019,"2019",52126,4947,"Wayne County, NC","05000US37191","wayne-county-nc"
1,"White",2019,"2019",43131,5054,"Wilkes County, NC","05000US37193","wilkes-county-nc"
1,"White",2019,"2019",70443,5002,"Wilson County, NC","05000US37195","wilson-county-nc"
2,"Black",2019,"2019",40456,10266,"Alamance County, NC","05000US37001","alamance-county-nc"
2,"Black",2019,"2019",56449,28235,"Brunswick County, NC","05000US37019","brunswick-county-nc"
2,"Black",2019,"2019",42902,21567,"Buncombe County, NC","05000US37021","buncombe-county-nc"
2,"Black",2019,"2019",34943,4268,"Burke County, NC","05000US37023","burke-county-nc"
2,"Black",2019,"2019",42308,10038,"Cabarrus County, NC","05000US37025","cabarrus-county-nc"
2,"Black",2019,"2019",29452,17442,"Caldwell County, NC","05000US37027","caldwell-county-nc"
2,"Black",2019,"2019",41297,9759,"Carteret County, NC","05000US37031","carteret-county-nc"
2,"Black",2019,"2019",32101,12047,"Catawba County, NC","05000US37035","catawba-county-nc"
2,"Black",2019,"2019",45327,9345,"Chatham County, NC","05000US37037","chatham-county-nc"
2,"Black",2019,"2019",32584,14017,"Cleveland County, NC","05000US37045","cleveland-county-nc"
2,"Black",2019,"2019",47895,9681,"Craven County, NC","05000US37049","craven-county-nc"
2,"Black",2019,"2019",40003,2893,"Cumberland County, NC","05000US37051","cumberland-county-nc"
2,"Black",2019,"2019",32201,15101.999999999998,"Davidson County, NC","05000US37057","davidson-county-nc"
2,"Black",2019,"2019",46230,7625.000000000001,"Durham County, NC","05000US37063","durham-county-nc"
2,"Black",2019,"2019",29509,4120,"Forsyth County, NC","05000US37067","forsyth-county-nc"
2,"Black",2019,"2019",44164,9313,"Franklin County, NC","05000US37069","franklin-county-nc"
2,"Black",2019,"2019",41387,3377,"Gaston County, NC","05000US37071","gaston-county-nc"
2,"Black",2019,"2019",40305,2334,"Guilford County, NC","05000US37081","guilford-county-nc"
2,"Black",2019,"2019",33823,5383,"Harnett County, NC","05000US37085","harnett-county-nc"
2,"Black",2019,"2019",71875,29280,"Henderson County, NC","05000US37089","henderson-county-nc"
2,"Black",2019,"2019",54481,10373,"Iredell County, NC","05000US37097","iredell-county-nc"
