ID_Race,Race,ID_Year,Year,ID_Poverty_Status,Poverty_Status,Poverty_Population,Poverty_Population_Moe,Geography,ID_Geography,Slug_Geography,share
1,White,2015,2015,0,Income In The Past 12 Months Below Poverty Level,890086,7295.023441,North Carolina,04000US37,north-carolina,0.45625314
1,White,2014,2014,0,Income In The Past 12 Months Below Poverty Level,887574,7233.164038,North Carolina,04000US37,north-carolina,0.455855079
1,White,2016,2016,0,Income In The Past 12 Months Below Poverty Level,872368,7041.235545,North Carolina,04000US37,north-carolina,0.457987647
1,White,2013,2013,0,Income In The Past 12 Months Below Poverty Level,867251,6924.479619,North Carolina,04000US37,north-carolina,0.452077966
1,White,2017,2017,0,Income In The Past 12 Months Below Poverty Level,845573,7095.367503,North Carolina,04000US37,north-carolina,0.457349301
1,White,2018,2018,0,Income In The Past 12 Months Below Poverty Level,823258,6836.479723,North Carolina,04000US37,north-carolina,0.461323713
1,White,2019,2019,0,Income In The Past 12 Months Below Poverty Level,790244,6975.093333,North Carolina,04000US37,north-carolina,0.460497708
2,Black,2014,2014,0,Income In The Past 12 Months Below Poverty Level,555579,5337.278614,North Carolina,04000US37,north-carolina,0.285343542
2,Black,2015,2015,0,Income In The Past 12 Months Below Poverty Level,551510,5316.942354,North Carolina,04000US37,north-carolina,0.282700963
2,Black,2013,2013,0,Income In The Past 12 Months Below Poverty Level,548271,5121.748822,North Carolina,04000US37,north-carolina,0.285801041
2,Black,2016,2016,0,Income In The Past 12 Months Below Poverty Level,537538,5392.026799,North Carolina,04000US37,north-carolina,0.282204028
2,Black,2017,2017,0,Income In The Past 12 Months Below Poverty Level,517071,5372.43604,North Carolina,04000US37,north-carolina,0.27967078
2,Black,2018,2018,0,Income In The Past 12 Months Below Poverty Level,493496,5373.741806,North Carolina,04000US37,north-carolina,0.276537133
2,Black,2019,2019,0,Income In The Past 12 Months Below Poverty Level,475973,5134.047039,North Carolina,04000US37,north-carolina,0.277363037
9,Hispanic,2015,2015,0,Income In The Past 12 Months Below Poverty Level,283395,3861.783655,North Carolina,04000US37,north-carolina,0.145266703
9,Hispanic,2014,2014,0,Income In The Past 12 Months Below Poverty Level,277906,4112.261543,North Carolina,04000US37,north-carolina,0.142731605
9,Hispanic,2013,2013,0,Income In The Past 12 Months Below Poverty Level,274977,3977.586831,North Carolina,04000US37,north-carolina,0.143339175
9,Hispanic,2016,2016,0,Income In The Past 12 Months Below Poverty Level,273081,3973.708595,North Carolina,04000US37,north-carolina,0.143365787
9,Hispanic,2017,2017,0,Income In The Past 12 Months Below Poverty Level,268985,3977.547234,North Carolina,04000US37,north-carolina,0.145487263
9,Hispanic,2018,2018,0,Income In The Past 12 Months Below Poverty Level,260607,3786.26531,North Carolina,04000US37,north-carolina,0.146034644
9,Hispanic,2019,2019,0,Income In The Past 12 Months Below Poverty Level,248474,3846.218273,North Carolina,04000US37,north-carolina,0.144792884
6,Other,2013,2013,0,Income In The Past 12 Months Below Poverty Level,109041,2857.096953,North Carolina,04000US37,north-carolina,0.056840561
6,Other,2014,2014,0,Income In The Past 12 Months Below Poverty Level,103066,2818.357855,North Carolina,04000US37,north-carolina,0.052934358
6,Other,2015,2015,0,Income In The Past 12 Months Below Poverty Level,102072,2795.036136,North Carolina,04000US37,north-carolina,0.05232154
6,Other,2016,2016,0,Income In The Past 12 Months Below Poverty Level,98899,2676.834511,North Carolina,04000US37,north-carolina,0.051921345
6,Other,2017,2017,0,Income In The Past 12 Months Below Poverty Level,97609,2791.545808,North Carolina,04000US37,north-carolina,0.052794268
6,Other,2018,2018,0,Income In The Past 12 Months Below Poverty Level,89305,2593.582272,North Carolina,04000US37,north-carolina,0.05004326
6,Other,2019,2019,0,Income In The Past 12 Months Below Poverty Level,84699,2437.009643,North Carolina,04000US37,north-carolina,0.049356522
