ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",3780,"North Carolina","04000US37","north-carolina",6552128,0.6247211597466229
0,"White Alone",1,"Hispanic or Latino",2019,"2019",18388,"North Carolina","04000US37","north-carolina",592382,0.05648143168952499
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",13919.999999999998,"North Carolina","04000US37","north-carolina",2214270,0.21112245096435153
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",5328,"North Carolina","04000US37","north-carolina",39211,0.003738623756255194
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",3323,"North Carolina","04000US37","north-carolina",113771,0.0108476438594504
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",3848,"North Carolina","04000US37","north-carolina",12937,0.001233495078796089
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",6872,"North Carolina","04000US37","north-carolina",307366,0.02930621074354477
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",1492,"North Carolina","04000US37","north-carolina",2539,0.00024208425485531962
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",1374,"North Carolina","04000US37","north-carolina",5003,0.0004770175372355904
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",1628,"North Carolina","04000US37","north-carolina",1875,0.00017877431187622068
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",4630,"North Carolina","04000US37","north-carolina",21879,0.0020860816904212437
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",16724,"North Carolina","04000US37","north-carolina",329586,0.03142480552215257
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",15790.372889833854,"North Carolina","04000US37","north-carolina",250672,0.02390064763020586
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",5440.621288051577,"North Carolina","04000US37","north-carolina",44465,0.004239573214707281
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",4099,"North Carolina","04000US37","north-carolina",6505973,0.6265611607512601
0,"White Alone",1,"Hispanic or Latino",2018,"2018",17843,"North Carolina","04000US37","north-carolina",592596,0.057070270291093086
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",10789,"North Carolina","04000US37","north-carolina",2184448,0.210374416629268
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",5764,"North Carolina","04000US37","north-carolina",38085,0.0036677960094841683
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",2806,"North Carolina","04000US37","north-carolina",108795,0.010477559849069977
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",3594,"North Carolina","04000US37","north-carolina",12050,0.001160481604681219
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",5005,"North Carolina","04000US37","north-carolina",303651,0.029243269688220486
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",1064,"North Carolina","04000US37","north-carolina",3031,0.00029190205342645437
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",3130,"North Carolina","04000US37","north-carolina",8539,0.0008223528981222348
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",1073,"North Carolina","04000US37","north-carolina",1679,0.00016169698043649517
